name,rookie_year,position,height,weight,birth_date
Latrell Sprewell,1993,G,77,190,1970-09-08
Larry Spriggs,1982,F,79,230,1959-09-08
Jim Springer,1949,C,81,235,1926-06-17
Jim Spruill,1949,G,74,225,1923-02-26
Ryan Stack,1999,F,83,215,1975-07-24
Jerry Stackhouse,1996,G-F,78,218,1974-11-05
LeBron James,2004,F-G,81,250,1984-12-30
Cole Aldrich,2011,C,83,250,1988-10-31
LaMarcus Aldridge,2007,F-C,83,250,1985-07-19
Chuck Aleksinas,1985,C,83,260,1959-02-26
Cliff Alexander,2016,F,80,245,1995-11-16
Will Conroy,2007,G,74,195,1982-12-08
Anthony Cook,1991,F-C,81,205,1967-03-19
Bert Cook,1955,G-F,75,185,1929-04-26
Bobby Cook,1950,G-F,70,155,1923-04-01
Brian Cook,2004,F,81,234,1980-12-04
